"Feature ID","Area","Feature","User Story","Expected Behaviour Based on Code","Code Evidence","Current Status","Test Status","Errors / Notes","Last Verified"
"SET-001","Settings","Host project path","As an operator, I want to set the host project path used by Docker update commands.","Settings stores hostProjectRoot with config. Backend trims the value, rejects line breaks or NUL characters, and passes valid Windows/Linux paths through HOST_DIR for Docker update commands.","SettingsForm.tsx hostProjectRoot; server.js validateHostProjectRoot/getHostDirEnv; server.js /api/update","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified Windows-style host paths with spaces/backslashes are accepted and trimmed, while newline-containing paths are rejected with 400.","2026-07-03"
"GIT-001","Settings","Branch list and status","As an operator, I want to see available branches and whether the current branch has updates.","Settings fetches GitHub branches and /api/git/status, then shows target branch options and enables upgrade when remote hash differs. In safe mode, branches return [] and status reports branch disabled with updateAvailable false.","SettingsForm.tsx Git state; server.js /api/git/branches and /api/git/status","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified safe-mode /api/git/branches and /api/git/status responses. Real GitHub branch fetch still needs network/runtime verification.","2026-07-03"
"GIT-002","Settings","Switch or upgrade branch","As an operator, I want to switch to a selected branch or upgrade the current branch.","Switch confirms the action, posts branch to /api/git/switch, reloads after successful trigger, and shows backend error detail if trigger fails. Backend backs up the current revision, stashes local changes if needed, fetches the target branch, checks out origin/<branch>, and rebuilds Docker without git pull. In safe mode, the endpoint returns 403 without side effects.","SettingsForm.tsx handleBranchSwitch; server.js /api/git/switch","Fixed - runtime verified","Safe runtime passed; full branch switch not executed","test:runtime-safe verified safe-mode 403 for /api/git/switch. Full branch switch remains unexecuted to avoid Git/Docker side effects.","2026-07-03"
"SET-002","Settings","Add profile","As an operator, I want to create a new sync profile from defaults.","Plus creates a UUID profile named New Profile, enables it, seeds default categories, and selects it for editing.","SettingsForm.tsx handleAddProfile; scripts/verify-static.mjs","Static verified","Static verified; UI retest required","test:static verifies add-profile handler creates a UUID profile, seeds default categories, and selects the new profile. Browser click behavior still needs UI retest.","2026-07-03"
"SET-003","Settings","Duplicate profile","As an operator, I want to copy an existing profile as a starting point.","Duplicate clones all profile fields, assigns a new UUID, appends (Copy) to the name, and selects the copy.","SettingsForm.tsx handleDuplicateProfile; scripts/verify-static.mjs","Static verified","Static verified; UI retest required","test:static verifies duplicate-profile handler assigns a new UUID, appends (Copy), and selects the duplicated profile. Browser click behavior still needs UI retest.","2026-07-03"
"SET-004","Settings","Delete profile in settings","As an operator, I want to delete a profile while editing settings.","Delete prompts for confirmation, removes the selected profile, selects the first remaining profile or clears selection, and repairs stale selected-profile state after parent config changes.","SettingsForm.tsx handleDeleteProfile; SettingsForm.tsx config sync effect; scripts/verify-static.mjs","Fixed - static verified","Static verified; UI retest required","test:static verifies delete-profile handler removes the profile, selects a remaining profile or null, and repairs stale selected-profile ids after config changes. Browser confirmation/click behavior still needs UI retest.","2026-07-03"
"SET-005","Settings","Save all configurations","As an operator, I want settings edits persisted in one explicit save action.","Save All Configurations posts profiles and hostProjectRoot to /api/config, returns to dashboard on success, and alerts if the backend reports schedule warnings.","SettingsForm.tsx save button; App.tsx handleSaveSettings; server.js /api/config","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified /api/config persists a profile in disposable DATA_DIR and returns invalid cron warnings. Browser save flow still needs UI retest.","2026-07-03"
"CRED-001","Credentials","Investec credential editing","As an operator, I want to enter Investec Client ID, Secret ID, and API Key securely.","Settings edits credential fields. Secret ID can be shown or hidden; API Key remains password input. Backend masks stored secrets when config is read.","SettingsForm.tsx Investec fields; server.js /api/config","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified saved Investec and Actual secret fields are masked by /api/config. Browser input behavior still needs UI retest.","2026-07-03"
"CRED-002","Credentials","Investec connection test","As an operator, I want to verify Investec API credentials before saving or syncing.","Test Connection posts profile data to /api/test/investec. Backend rehydrates masked saved secrets, rejects missing Investec fields before worker spawn, then the worker authenticates and returns account count on success.","SettingsForm.tsx runTest; server.js /api/test/investec; server.js hydrateMaskedProfileSecrets; server.js spawnWorker test-investec","Fixed - runtime preflight verified","Safe runtime preflight passed; External API required","test:runtime-safe verified incomplete Investec test payloads return 400 before worker spawn. Settings test errors now display as test failures instead of network errors. Live Investec auth still requires external API credentials.","2026-07-03"
"ACT-001","Actual Budget","Actual target editing","As an operator, I want to configure Actual server URL, budget sync ID, and optional password.","Settings edits Actual URL, budget ID, password, and optional AI container per profile.","SettingsForm.tsx Actual fields; scripts/verify-static.mjs","Static verified","Static verified; UI retest required","test:static verifies Actual URL, budget ID, password, and Actual AI container fields update the selected profile. Browser editing still needs UI retest.","2026-07-03"
"ACT-002","Actual Budget","Actual connection test","As an operator, I want to verify Actual server and budget access before syncing.","Test Connection posts profile data to /api/test/actual. Backend rehydrates masked saved secrets, rejects missing Actual fields before worker spawn, then the worker checks /info, initializes Actual API, downloads budget, and returns success.","SettingsForm.tsx runTest; server.js /api/test/actual; server.js hydrateMaskedProfileSecrets; server.js test-actual worker path","Fixed - runtime preflight verified","Safe runtime preflight passed; External Actual server required","test:runtime-safe verified incomplete Actual test payloads return 400 before worker spawn. Settings test errors now display as test failures instead of network errors. Live Actual connectivity still requires an Actual server and budget.","2026-07-03"
"ACT-003","Actual Budget","Actual AI container selection","As an operator, I want to link a Docker container for Actual AI logs to a profile.","Settings loads running Docker container names with authentication, stores selected actualAiContainer on the profile, and surfaces Docker unavailable errors beside the selector.","SettingsForm.tsx containers select; server.js /api/docker/containers; scripts/verify-static.mjs","Fixed - static verified","Static verified; Docker socket permission runtime gap identified","test:static verifies container loading, selected actualAiContainer persistence, and UI display of Docker discovery failures. Real Docker container discovery requires Docker socket access for the non-root container user.","2026-07-09"
"CAT-001","Categories","Default category loading","As an operator, I want default categories available for new profiles and sync fallback.","Backend creates data/categories.json from DEFAULT_CATEGORIES when missing; settings fetches it and new profiles copy it.","server.js loadCategories; SettingsForm.tsx defaultCategories","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified /api/categories creates and returns default categories in a fresh disposable DATA_DIR. Category labels are valid UTF-8 emoji bytes.","2026-07-03"
"CAT-002","Categories","Per-profile category JSON editing","As an operator, I want to view and edit category mappings as JSON per profile.","Category panel shows JSON. Edit JSON opens textarea; Apply parses JSON, validates an object of group names mapped to non-empty category-name arrays, stores valid JSON on the selected profile, and shows errors without saving invalid JSON.","SettingsForm.tsx validateCategoryTree and handleApplyCategories; server.js /api/config validation","Fixed - build verified","Passed","Added frontend and backend category-tree shape validation.","2026-07-03"
"CAT-003","Categories","Global category API","As an integrator, I want a backend endpoint to read or replace the global default category tree.","GET /api/categories returns the stored/default category tree. POST /api/categories validates the request body, writes valid category trees to data/categories.json, and rejects invalid payloads with 400.","server.js /api/categories GET and POST; isValidCategoryTree","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified invalid category payload returns 400 and valid category trees persist in disposable DATA_DIR.","2026-07-03"
"SCHED-001","Scheduling","Cron schedule editing","As an operator, I want automated sync schedules per profile.","Settings edits syncSchedule. Daily shortcut sets 0 0 * * *. Backend validates cron expressions, schedules enabled valid profiles, logs invalid schedules, and returns warnings on config save.","SettingsForm.tsx schedule field; App.tsx save warning; server.js setupCron","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified invalid cron schedules return warnings on /api/config save. Browser warning display still needs UI retest.","2026-07-03"
"SYNC-001","Sync Engine","Worker process isolation","As an operator, I want each sync/test to run isolated from the web server.","Backend forks server.js with WORKER_ACTION and payload, logs child messages, enforces a 5-minute timeout, tracks processing profile IDs, shuts down Actual in finally, and preserves non-zero worker exit codes on failure.","server.js spawnWorker and worker branch; scripts/test-runtime-safe.mjs; scripts/verify-static.mjs","Fixed - runtime preflight verified","Safe runtime worker failure passed; full worker sync not executed","test:runtime-safe directly forked a worker with an invalid Actual payload and verified failure result plus exit code 1. test:static verifies worker timeout, env payload isolation, processing tracking, and exit-code preservation. Full sync worker behavior still requires external services.","2026-07-03"
"SYNC-002","Sync Engine","Actual budget initialization","As an operator, I want the worker to connect to Actual using clean profile-specific data directories.","Worker cleans data/actual-data/<profileId>, checks /info, initializes Actual API, downloads the target budget, loads it into the API context, and retries password-based download handling for encrypted budgets.","server.js worker test-actual/sync path; scripts/verify-static.mjs","Fixed - static verified","Static verified; External Actual server required","test:static verifies clean data directory use, /info check, Actual init, downloadBudget, loadBudget, and password retry error handling. Live verification still requires an Actual server and budget.","2026-07-09"
"SYNC-003","Sync Engine","Category sync to Actual","As an operator, I want configured category groups and categories created in Actual.","During sync, worker compares configured category tree with Actual groups/categories and creates missing groups/categories, logging counts.","server.js syncCategories; scripts/verify-static.mjs","Static verified","Static verified; External Actual server required","test:static verifies getCategoryGroups/getCategories, createCategoryGroup, createCategory, and category sync invocation. Live verification still requires Actual API access.","2026-07-03"
"SYNC-004","Sync Engine","Investec data fetch","As an operator, I want bank accounts and transactions fetched from Investec for syncing.","Worker authenticates using Investec OAuth, fetches accounts, then fetches last year's transactions per account.","server.js fetchInvestec and sync loop; scripts/verify-static.mjs","Static verified","Static verified; External Investec API required","test:static verifies OAuth token endpoint, account endpoint, one-year date range, and transaction fetch URL. Live verification still requires Investec API credentials.","2026-07-03"
"SYNC-005","Sync Engine","Actual account matching/creation","As an operator, I want matching Actual accounts created automatically when missing.","Worker derives account name from referenceName or product plus last four digits, detects credit accounts, and creates missing Actual accounts.","server.js sync account loop; scripts/verify-static.mjs","Static verified","Static verified; External Actual server required","test:static verifies referenceName/product account naming, last-four fallback, credit detection, and createAccount path. Live verification still requires Actual API access.","2026-07-03"
"SYNC-006","Sync Engine","Transaction import and dedupe","As an operator, I want transactions imported once without duplicates.","Worker transforms Investec transactions to Actual transaction shape, creates imported_id from account/date/payee/order or amount, imports transactions, and syncs Actual only when changes exist.","server.js transformTransaction and actual.importTransactions; scripts/verify-static.mjs","Static verified","Static verified; External Investec/Actual required","test:static verifies transformTransaction, imported_id construction, importTransactions, and sync-on-change path. Live dedupe verification still requires Investec transaction data and Actual API access; dedupe depends on postedOrder stability from Investec.","2026-07-03"
"UPD-001","Updates","Remote version check","As an operator, I want the app to detect newer released versions.","After login, frontend calls /api/version-check; backend compares local package.json version with remote main package.json using a bounded fetch timeout and returns updateAvailable/latest. In safe mode, it returns the current version with updateAvailable=false.","App.tsx version-check; server.js /api/version-check; scripts/test-runtime-safe.mjs; scripts/verify-static.mjs","Fixed - runtime safe-mode verified","Safe runtime passed; external version check not executed","test:runtime-safe verifies safe-mode version-check response. test:static verifies remote package metadata is fetched through fetchWithTimeout and version comparison remains present. Live GitHub version check still requires network access.","2026-07-03"
"UPD-002","Updates","Auto update execution","As an operator, I want a one-click update that rebuilds and restarts the container.","Update button confirms, posts /api/update, shows an error if the trigger fails, and otherwise reloads after the backend checks Docker Compose, updates Git, rebuilds/recreates Docker, prunes images, and logs to data/update.log. In safe test mode, the endpoint returns 403 without side effects.","App.tsx Update button; server.js /api/update","Fixed - runtime verified","Safe runtime passed; full update not executed","test:runtime-safe verified safe-mode 403 for /api/update. Full update still intentionally unexecuted to avoid destructive Git/Docker side effects.","2026-07-03"
"UPD-003","Updates","Divergent branch recovery","As an operator, I want auto-upgrade to recover when Git reports divergent branches during pull.","Updater fetches all refs/tags, detects current branch, stashes local changes, tries git merge --ff-only origin/<branch>, and if it fails creates an auto-update backup branch then resets hard to the remote branch.","server.js runGitUpdate inside /api/update; scripts/verify-static.mjs","Fixed - static verified","Static verified; full divergent update not executed","test:static verifies update paths do not use git pull, stash local changes, attempt git merge --ff-only, create auto-update backup branches, and reset hard on divergence. Full divergent-branch update remains unexecuted to avoid destructive Git/Docker side effects.","2026-07-03"
"DOCK-001","Docker","Running container discovery","As an operator, I want the app to list Docker containers for Actual AI log selection.","Backend runs docker ps --format names and returns a list unless maintenance actions are disabled, where it returns an empty list for safe tests. If Docker is unavailable or socket permissions fail, backend returns 503 and settings displays the error.","server.js /api/docker/containers; SettingsForm.tsx","Fixed - runtime verified","Safe runtime passed; Docker socket permission failure surfaced","test:runtime-safe verified safe-mode empty container list. Docker Compose runtime verified app startup and identified non-root Docker socket permission failure; the API now reports Docker unavailable instead of silently returning an empty list. Full positive Docker discovery requires approved socket permissions.","2026-07-09"
"DOCK-002","Docker","Container log retrieval","As an operator, I want recent Docker logs for the selected Actual AI container.","Backend validates container names before safe-mode handling, returns empty logs in safe mode for valid names, and in normal mode runs docker logs --timestamps --tail 100, combines stdout/stderr, and returns logs. Docker command failures return 503 with details.","server.js /api/docker/logs; scripts/test-runtime-safe.mjs; scripts/verify-static.mjs","Fixed - runtime preflight verified","Safe runtime preflight passed; Docker socket permission failure surfaced","test:runtime-safe verified valid safe-mode log requests return empty logs and missing/invalid container names return 400 before Docker execution. Static verification covers explicit Docker unavailable responses. Full positive docker logs execution requires approved socket permissions.","2026-07-09"
"DEPLOY-001","Deployment","Multi-stage Docker image","As an operator, I want a container image that builds the frontend and runs the backend with production dependencies only.","Dockerfile builds the Vite frontend in a builder stage, installs production dependencies in the runtime stage, copies built assets to /app-dist, sets DIST_DIR=/app-dist, runs as the node user, exposes 46490, and starts server.js without writing into a bind-mounted /app directory.","Dockerfile; server.js DIST_DIR; .dockerignore","Fixed - Docker build verified","Passed","docker compose build passed after adding .dockerignore, DIST_DIR serving, and image-owned app files. Build context is reduced to tens of KB instead of sending node_modules/data/.git.","2026-07-09"
"DEPLOY-002","Deployment","Docker Compose runtime","As an operator, I want persistent data and host project access when running the app through Docker Compose.","docker-compose.yml builds the service, publishes 46490:46490, mounts ./data to /app/data, mounts HOST_DIR or the current directory to /host-project for self-update support, points PROJECT_ROOT at /host-project, exposes the Docker socket for privileged installations, and leaves /app image-owned.","docker-compose.yml; scripts/verify-static.mjs; server.js PROJECT_ROOT","Fixed - Docker runtime verified","Docker app runtime passed; Docker socket positive path requires explicit permission","Docker Compose runtime was verified with a disposable temp clone: /host-project mounted as a Git repo, startup branch check succeeded, and /env-config.js was reachable on 127.0.0.1:46490. G: drive bind mount was incomplete in Docker Desktop, so temp clone was used for authoritative mount verification. Docker socket-backed API calls remain blocked under default non-root permissions unless explicitly enabled.","2026-07-09"
"DEPLOY-003","Deployment","Optional nginx reverse proxy","As an operator, I want an nginx config available for serving the built frontend and proxying API requests when deployed behind nginx.","nginx.conf serves /app/dist with SPA fallback, proxies /api/ to localhost:46490, adds security headers on API responses, and caches static assets.","nginx.conf; scripts/verify-static.mjs","Static verified","Static verified; nginx runtime not exercised","test:static verifies SPA fallback, API proxy target, and security header directives. nginx runtime is not part of the current Dockerfile image and remains unexecuted.","2026-07-03"
"SERV-001","Server","Startup branch check","As an operator, I want the server to keep running even if the startup Git branch check cannot execute.","Startup branch check now catches exec failures and logs a skipped check instead of crashing the process; safe mode skips the branch check entirely.","server.js startup checks; DISABLE_MAINTENANCE_ACTIONS safe mode","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified the server starts successfully with startup branch check skipped in safe mode. Non-safe Git-check failure path still has syntax/static coverage only.","2026-07-03"
"SERV-002","Server","Server version reporting","As an operator, I want the dashboard server version to match the installed package version.","The backend reads package.json at startup and returns that version through /api/status instead of a stale hard-coded string.","server.js SCRIPT_VERSION; package.json version; /api/status","Fixed - build verified","Passed","Previously reported 6.5.0 - Stable while package.json was 7.0.0.","2026-07-03"
"SERV-003","Server","Safe local test mode","As a maintainer, I want to start the server locally for non-destructive runtime tests without exposing Git/Docker maintenance actions.","HOST can override the bind address, and DISABLE_MAINTENANCE_ACTIONS=true suppresses external version/Git/Docker checks, blocks update and branch-switch actions with 403, returns empty Docker logs/container lists, and skips the startup Git branch check.","server.js HOST and DISABLE_MAINTENANCE_ACTIONS handling; scripts/test-runtime-safe.mjs","Fixed - runtime verified","Safe runtime passed","test:runtime-safe starts the server on 127.0.0.1 with maintenance disabled, probes safe endpoints, and stops the child process.","2026-07-03"
"SERV-004","Server","Disposable data directory override","As a maintainer, I want runtime tests to use disposable app data so they do not overwrite real settings, categories, logs, or Actual working data.","DATA_DIR can override the default data directory; CONFIG_FILE, CATEGORIES_FILE, ACTUAL_DATA_DIR, and UPDATE_LOG are derived from that directory.","server.js DATA_DIR handling; scripts/test-runtime-safe.mjs","Fixed - runtime verified","Safe runtime passed","test:runtime-safe uses a temporary DATA_DIR, removes it after the run, and leaves repo data/settings.json and data/categories.json absent.","2026-07-03"
"ENV-001","Runtime Config","env-config script","As an operator, I want the app shell to load without missing-script console errors in dev or production.","A public env-config.js initializes window.__ENV__; Vite copies it to dist and Express also serves a safe fallback at /env-config.js before the SPA fallback.","public/env-config.js; server.js /env-config.js route; index.html","Fixed - runtime verified","Safe runtime and Docker runtime passed","test:runtime-safe and Docker Compose runtime verified /env-config.js returns the runtime env script; npm run build verifies dist asset creation.","2026-07-09"
"SPA-001","Runtime Serving","Single-page app fallback","As an operator, I want direct browser refreshes on app routes to still load the dashboard shell.","Express serves DIST_DIR statics and falls back to DIST_DIR/index.html for unmatched routes; if the frontend is not built it returns a plain server-running message.","server.js express.static and wildcard route; Dockerfile DIST_DIR","Fixed - runtime verified","Safe runtime and Docker runtime passed","test:runtime-safe verified a deep route returns index.html with the root element. Docker Compose runtime verified image-built assets are served from /app-dist without writing to /app/dist.","2026-07-09"
"DEV-001","Development","Vite dev server proxy","As a maintainer, I want frontend development requests to reach the local backend without changing frontend API paths.","vite.config.ts runs the dev server on port 5173, binds according to Vite host=true, and proxies /api requests to http://127.0.0.1:46490.","vite.config.ts; scripts/verify-static.mjs","Static verified","Static verified; dev proxy runtime not exercised","test:static verifies dev server port and /api proxy target. Runtime validation still requires running Vite and the backend together.","2026-07-03"
"BUILD-001","Build","Production build","As a maintainer, I want the app to compile into a deployable frontend bundle.","npm run build runs tsc and vite build, producing dist assets.","package.json scripts; vite.config.ts","Passing","Passed","npm run build exits 0 and emits dist assets including env-config.js.","2026-07-03"
"BUILD-002","Build","TypeScript source coverage","As a maintainer, I want tsc to check the actual app source files before a production build.","tsconfig now includes index.tsx, App.tsx, types.ts, and components/**/*.tsx instead of an unused src directory.","tsconfig.json","Fixed - build verified","Passed","After the include fix, unused imports surfaced and were removed; npm run build now passes with real source coverage.","2026-07-03"
"BUILD-003","Build","Package lock version metadata","As a maintainer, I want package-lock metadata to match package.json so install/update tooling reports the correct app version.","package-lock root version and root package version now match package.json version 7.0.0.","package.json; package-lock.json","Fixed - build verified","Passed","Lockfile previously still identified the root project as 6.5.0.","2026-07-03"
"TEST-001","Testing","Static feature verifier","As a maintainer, I want a repeatable safe test that checks spreadsheet integrity and critical update/build invariants without starting the management server.","npm run test:static runs scripts/verify-static.mjs to validate required feature_status.csv columns, unique feature IDs, Express route coverage in Code Evidence, package version alignment, no git pull in server update paths, update recovery invariants, host path validator invariants, profile preflight/secret rehydration invariants, key dashboard/settings UI source invariants, Docker/deployment/dev config invariants, sync-engine source invariants, version-check timeout invariants, tsconfig coverage, env-config presence, and safe runtime test availability.","scripts/verify-static.mjs; package.json test:static","Passing","Passed","Static verification passed with 56 feature rows, route coverage checks, selected UI source invariants, sync-engine invariants, explicit Docker unavailable handling, Docker Compose PROJECT_ROOT/DIST_DIR invariants, and deployment/dev config checks.","2026-07-09"
"TEST-002","Testing","Safe runtime API smoke test","As a maintainer, I want a repeatable runtime smoke test that exercises safe backend behavior without syncing data or running maintenance commands.","npm run test:runtime-safe starts server.js on 127.0.0.1 with DISABLE_MAINTENANCE_ACTIONS=true and disposable DATA_DIR, verifies auth, status, env-config, SPA fallback, disabled maintenance endpoints, safe Docker responses and Docker log validation, config persistence/masking, Windows-style host path validation, connection-test preflight validation, sync preflight validation, worker failure exit-code handling, profile disable/delete persistence, invalid cron warnings, category default/read/write/reject behavior, logs, update-log fallback, missing sync profileId rejection, then stops the child server.","scripts/test-runtime-safe.mjs; package.json test:runtime-safe","Passing","Passed","Expanded safe runtime verification passed after increasing configurable startup wait for slower environments. It verifies Windows host path validation, Docker safe-mode behavior, connection/sync preflight validation, direct worker failure exit-code validation, and avoids repo data/settings.json or data/categories.json.","2026-07-09"
